"id","sequence","name","auto_apply","country_id","note","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"private_account_fiscal_position_mayorista","10","Ventas Mayoristas (PRIVADO Y COOPERATIVO)","0","base.cu","Las ventas mayoristas no estan gravadas.","private_cu_tax10_sale_all","private_cu_tax0_sale"
"private_account_fiscal_position_servicio_persona_jurid","20","Servicios Personas Juridicas (PRIVADO Y COOPERATIVO)","0","base.cu","Los servicios a personas juridicas no estan gravadas.","private_cu_tax10_sale_all","private_cu_tax0_sale"
